Name,Interests
Wendy Ashley,"supporting representation and voice for invisible, marginalized communities, enhancing anti-oppressive, intersectional pedagogy, trauma and identity based challenges"
"
Irán Barrera",health equity
Reuben Addo,
Martha Vungkhanching,
Sofya Bagdasaryan,"social justice—whether that be related to child welfare, immigration, or structural oppression"
Ga-Young. Choi,domestic violence/ intimate partner violence (IPV); secondary traumatic stress of helping professionals working with the survivors of IPV often in organizational contexts; and the wellbeing of ethnic minorities and immigrants focusing on Asian Americans and Pacific Islanders
Evaon Wong Kim,cancer survivorship and quality of life issues confronting Chinese immigrant breast cancer patients
José Miguel Paez,"decolonization, anti-colonial practice, critical race theory, feminism, intersectionality, liberation based-healing, historical trauma and healing centered engagement"
Serge Lee,"Immigrants and refugees issues, Child and family SW, International SW, Behavioral health of minority groups"
Yawen Li,"Social determinants of health and health behaviors, Self-management of chronic illness, home and community based long-term care services, minority older adults"
Rigaud Joseph,"Poverty and social welfare policies, wellbeing among low-income families, evaluation of program effectiveness, theory and scale development, social justice paradigm"
Shellye Sledge,
Janice McCall,Veterans
Lalit Khandare,"domestic violence, global social work, and human rights"
Mustapha Alhassan,"Health disparities, human trafficking, data science"
Shena Leverette Brown,Race-based stress
Kenya C. Jones,"strengths perspective, mentorship"
Eyitayo Onifade,Juvenile justice
Mamadou Mansor Seck,Juvenile justice
Eunlye Lee,"health disparities, childhood adversity, food insecurity, social determinants of health"
I-Hsuan Lin,"gendered work-family interface, with a specific focus on caregivers’ work-family conflict (WFC) and structural solutions"
Vandana Chaudhry,"disability in the Global South, neoliberal governance, culturally and structurally competent practices, and disability justice"
Esther Son,health and well-being of children and adults with disabilities and their families
Eunhee Choi,"Aging, health, policy, productive aging, older workers, research methodology, and program evaluation"
Brianna Lemmons,"Predictors Non-Resident Father Involvement
The Role of Spirituality in Fathering
Effective Delivery of Research Related Curriculum Content in Social Work Programs
Evaluation of Fatherhood Programs
Assessment, Outcomes, and Accreditation Processes in Social Work Education Programs"
Sung Seek Moon,"Mental health among racial minority groups
Influence of social contexts and environments
Addictive disorders
Substance abuse prevention in adolescents"
Zee Suntai,"Intersectionality
Palliative and End of Life Care
Death and Dying
Aging
Chronic Illness"
Leticia Villarreal Sosa,Diversity and Equity
Mi Hwa Lee,"Cancer screening disparities, health literacy, aging"
Ken Saldanha,"migration, homelessness, marginalized youth, behavioral health, culturally responsive practice, and the development of critical qualitative research methods"
Rie Kobayashi,Aging
Cassanda L. McKay-Jackson,School social work
Viola Vaughan-Eden,child and family welfare
Charles Birore,"public policy, public health, economic development"
Erica Campbell,"Critical Race Theory, Racial Competency, Social Justice, Racial Justice, Intimate Partner Violence, Trauma, Health Disparities, Racial & Ethnic Minority Populations, Black Feminist Theory, Social Change, Intersectionality, Program Evaluation & Assessment, Curriculum Development"
Terri Moore Brown,Military social work
Yongqiang Zheng,"Aging Populations
End of Life Care
Grief"
Emily Ihara,"Social determinants of health
Health inequities
Alzheimer’s disease and related dementias
Health outcomes for vulnerable populations
Social policy and system change"
Megumi Inoue,"End-of-life issues: Advance care planning and grief process
Patients’ autonomy and dignity in health care settings
Personalized music intervention for dementia"
JoAnn Lee,"Young adults
Juvenile justice
Child welfare
Adolescents
Delinquency
Social services"
Y. Joon Choi,"childhood adversity, intimate partner violence"
Qiana R. Cryer-Coupet,"fathering, kinship care, family well-being, black family dynamics"
Terri Lewinson,aging in place
"Lionel Scott, Jr.","psychosocial functioning and help-seeking behaviors of ethnic minority youth and older youth transitioning from the foster care system, racial disparities in specialty mental health service use, and race-related stress and coping among Black youth"
Von Nebbitt,
Henry D'Souza,
PETER MATAIRA,"Decolonizing social work, Indigenous research and evaluation methodologies, Social entrepreneurship and enterprise development, Sociology of underdevelopment and world systems, Family Group Conferencing, working with boys and men, Addictions, Harm reduction, Music and social work"
Ai Bo,
Yura Lee,"Aging population, mental health and cognitive impairment, caregiving"
David J. Pate Jr.,"effects of the social welfare system on black men, black fatherhood"
Jeehoon Kim,"aging and family studies, social policy, quantitative research method"
Gardenia Harris,"Racial disparities in the provision of social serices, prevention of HIV in middle age black women, child welfare policies"
Esther Shin,
Eun-Hye Grace Yi,"aging population, alzheimer's and cognitive disorders in rural areas, health disparities of immigrants and ethnic minorities, first-generation college students' perception and usage of social capital"
Sadaaki Fukui,"improvement of strengths-based and client-centered practices via designing, implementing, and testing client-centered supervision and shared decision-making methods"
Carolyn Gentle-Genitty,"truancy and absenteeism, school-to-prison pipeline, gender violence, school programming and student engagement in education"
Vergil Gregory,"cognitive-behavioral therapy, systematic reviews, meta-analysis, clinical trials, psychometrics"
Michin Hong,"Racial/ethnic disparities in health and access to health care, long term care for aging adults, home and community-based services, end of life caregivers, vulnerability in the online world, machine learning in health care"
Eric Kyere,"Racial disparities in education and health, racial-ethnic socialization, racial-ethnic identity, youth development, parenting, equitable school climate, international social work, human trafficking"
Hasan Reza,Social issues in Bangladesh
E. Susana Mariscal,"Child maltreatment prevention, promotion of resilience among children exposed to interpersonal trauma, intersections between child maltreatment, domestic violence, and substance use, youth aging out of foster care, latinx issues"
Otrude Nonteboko Moyo,"Social development issues, affrican immigrants and integration issues, indigenous knowledges and decolonizing methods, foundational philosophies in service provision, community engagement"
Tarek Zidan,"Mental health, substance use, health issues, and discrimination within Muslim and Arab American communities"
Pedro Hernandez,"Child welfare, juvenile justice, disproportionate minority content"
Patrice Jenkins,"Drinking behaviors among African American college students, collaborative care for victims of sex trafficking, suicide rates among African American teenagers"
Jaegoo Lee,"Child welfare, transracial adoptive families and socialization, adoption and foster care, adverse childhood experiences, bullying and cybetbullying, mental health in young adulthood and amon racial/ethnic and gender minorities, social technology and health outcomes, racial/ethnic disparities in health, climate change, distance learning, cultural sensitivity"
Eunkyung Yoon,"Health disparities and mental health of minority aging population, cross-cultural validation of measurements, geriatric/gerontological social work education, gender/women's issues, parent involvement for school aged children"
Kathryn Bocanegra,"Community violence prevention, complex trauma and bereavement, working with survivors of violent crime, examining the intersection of the criminal justice system with urban neighborhoods"
Shih-Ying Cheng,"Gender-based violence, evidence-based practive, recent immigrants"
Daysi Diaz-Strong,"Educational outcomes and experiences of Latinx undocumented immigrants, developmental trajectories of Latinx undocumented immigrants, impact of immigration policy on immigrants and immigrant families, identity development of immigrant populations"
Otima Doyle,"adverse childhood experiences, trauma-informed practice, youth of color, education equity"
Walter Gómez,"Substance use interventions for sexual minority men, structural, social, and cultural barriers to HIV prevention interventions, aging with HIV, social and sexual networks, social capital and social movements, intersectionality"
Creasie Finney Hairston,"Impact of incarceration and community reentry on families and children, social welfare policies and services for aging populations"
Chang-ming Hsieh,"Quality of life, subjective well-being, life satisfaction, client satisfaction of social services for older adults"
Lisa Hines,"Diversity, equity, and incllusion, mission-driven outcomes"
John Holton,"Elder exploitation and abuse prevention, community housing for older adults, collective efficacy and senior security"
Charles E. Hounmenou,"Human trafficking, commercial sexual exploitation of children, human rights of detainees and immigrants"
Annette Johnson,"Children's mental health, social and emotional learning, clinical practice in schools"
Laurenia Mangum,"sexual health/reproductive health inequities among Black women, Biomendical/bahavioral HIV prevention interventions, gender/racial disparities in HIV care continuum outcomes, Maternal and family well-being, social networks"
Branden A. McLeod,"Fatherhood among Black fathers and families, reentry into society from incarceration, criminal justice reform"
Michelle-Ann Rhoden Neita,"Educational and health outcomes of youth involved in the child welfare and justice systems, trauma-informed care for youth and young adults with adverse childhood experiences, biomarkers for psychological trauma, community reintegration programs in faith-based settings"
Chastity Owens,"Evidence-based interventions in schools, clinical practice in education, social and emotional learning"
Latoya Brooks-Key,"Sexuality, women empowerment, mental health"
Kareema J. Gray,"Effectiveness of community initiatives to alleviate poverty, international disaster case management/disaster response, social justice, social advocacy, adolescent education issues"
Melvin Herring,"Books include ""Human Behavior Theory"" and ""Social Work Practice with Marginalized Opressed Populations"""
Bianca Channer,"Incarceration, spirituality, mental health"
Monica Nandan,"Education, Asian-American immigration, end-of life, aging populations"
Tatiana Villarreal-Otalora,"Adolescent development, family studies, suicide prevention, working with latinx families"
Adrian Archuleta,"Acculturation, Acculturative Stress, cultural competence, social capital, social network, Latinxs"
Shantel Crosby,"Childhood trauma, wellbeing, and socioemotional development among high risk and system-involved youth, with an emphasis on racial/ethnic minority youth;  Socioemotional interventions and trauma-informed practice in educational institutions"
Eli Karam,"identifying the common factors leading to change in MFT and bridging the scientist- practitioner gap in MFT research and training,  healthy relationship education for at-risk families, adults and youth"
Heehyul Moon,"health disparities among racially and culturally diverse older adults and families, dementia, caregiving"
Sharon E. Moore,"Empowering the African American Community, Black Church, Human Behavior, professors of color in PWIs, sexual violation of children and religious institutions"
Armon Perry,"family studies, fatherhood, marriage, african american communities' attitutudes towards marriage"
Bibhuti K. Sar,"child and family wellbeing, adoption, trauma informed care of refugees and immigrants, families,child welfare, training and evaluation"
Emma Sterrett-Hong,"adolescent health,  decrease health disparities affecting marginalized youth, evidence-based treatments"
Lixia Zhang,"family social factors, adverse childhood experiences,  relationships between adverse family physical environment and family members’ functioning and well-being"
Yasoda Sharma,"HIV/AIDS, violence against women, reproductive health, mental health, international social work"
Fang-Hsun Wei,"Health behavior, mental health, reproductive health, social and economic development, international social work, medical malpractice"
Brenda Williams-Gray,"trauma and resiliency, cultural diversity, critical race theory, organizational capacity"
Mohan Vinjamuri,"LGBT populations, child welfare practice, contemporary fatherhood, pedagogical strategies for teaching evidence-based practice"
Edson Chipalo,"Mental Health, Immigrants and Refugee Population, Intervention Research, Native Alaskan population"
Qais Alemi,"Psychosocial needs of populations affected by political violence, Stigma, prejudice, racial, and religious discrimination, Immigrant and refugee acculturation, adjustment, identity, and resiliency, Mental health help-seeking behaviors"
Kelly Baek,"Mental health, Culturally-sensitive interventions, Program development and evaluation, Community-based research"
"Youn Kyoung ""Lily"" Kim","mental health and health risk behaviors among vulnerable populations, immigrants and refugees, behavioral health inequity, interventions"
Shawndaya Thrasher,"African american issues, youth problem behaviors, bullying"
Sunny Sinha,"Sexuality & culture, heath research, HIV prevention, violence against women, human trafficking"
Veronica R. Barrios,"family violence, intersectionality, sexual violence, Latinx college students"
"Anthony James, Jr.","positive youth development, relational developmental systems, race theory, "
Sherrill L. Sellers,"social inequalities and health, ethnicity, healthcare, "
Ashlee R. Barnes Lee,"juvenile justice, racial and ethnic disparities, risk assessment, delinquency prevention"
Hyunkag Cho,"intimate partner violence, cumulative victimization, immigrants, health, help-seeking"
Daniel Vélez Ortiz,"mental health services for older adults, latinos, immigration and ethnic status, helathcare, organizational fcators, health technology, diversity in higher education"
Fei Sun,"cognitive and emotional well being in aging populations, elder abuse and neglect among ethnic minority groups, chinese americans, racial studies"
Ronald E. Hall,"mental health, cutaneo-chroma, intra racial racism, bleaching syndrome, colorism litigation, special populations, human behavior"
Kyunghee Lee,"child and family policy analysis, poverty, human development, chilcare and early education, cross cultural issues, well being for low income families"
Keunhye Park,"child welfare, juvenile justice, child maltreatment, education experiences for vulnerable youth, transition to adulthood"
Lenora Foels,"diversity, social justice and change, civil discourse, technology in social work education, school social work practice issues, social work with groups"
Omotola Akinsola,"educational and economic disparities, youth unemployment in developing countries, homelessness, community development, entrepreneurship, nonprofit development and management, technical and vocational education and training"
Golam M Mathbor,"community participation, coastal community development, disaster relief and management, international social development, international social work"
Sara Matsuzaka,mental health and substance use inequities among sexual minorities of color
Maryam Rafieifar,"immigration, disenfranchised children and families"
Laura Quiros,"Trauma informed care, social justice, social construction of racial and ethnic identity"
Laurens Van Sluytman,"gender, HIV, immigration, public health and policy, sex and sexuality, race"
Sharlene Allen,"Dispersed social work, work life balance for WOC, leadership and mental health"
Dana Burndell Wilson,"Leadership in child welfare programs and policy, foster care alumni empowerment, women of color in social work leadership, mentorship for women in the academy"
Linda Darrell,"Cultural competence, mental health in the African American community, families and children, obesity in the African American community"
Denise McLane-Davison,"Africana womanist epistemology, health disparities (HIV/AIDS), leadership, international/African studies"
Melissa Littlefield,"Multiculturalism in social work education, cultural competence with African American women, human services computer technologies, health technology"
Taqi Tirmazi,Psychological functioning and behavioral health of urban and immigrant youth
Rhonda Wells-Wilbon,"Domestic violence, sexual assault, African-centered social work, cultural competence, social and economic justice"
Jordan White,"HIV/AIDS, COVID-19, mental health, correctional health, urban health, health equity"
Clifford Bersamira,"Addiction/behavior health policies and service delivery, addiction/behavioral health services and healthcare reform, recovery support services and mutual aid, AAPI and Native Hawaiian behavioral health disparities, behavioral health systems and services integration"
Jing Guo,"comparative family policy, work family and gender, migration and child education, asian americans, immigrants, and child welfare, social policy and social services in China"
Seunghye Hong,"Neighborhood contexts, immigration, mental health, community-based practice, research methodology"
Yeonjung Jane Lee,"Health equity, social and racial justice, aging, diversity"
Shelly Muneoka,"Intergenerational wellness, aging and later life, Kānaka maoli population"
Meripa Godinet,"Juvenile delinquency prevention, social and adjustment issues of Pacific Islander adolescents, multi-culture and cross-culture issues"
Eun Koh,"child welfare, kinship care, children and family services and policies, wellbeing of racial/ethnic minorities and immigrants"
Tony Bobadilla,
Héctor Luis Díaz,"socio-economic development, social welfare policy, cultural issues, international social work education"
Anayeli Lopez,"Impact of immigration enforcement on the well-being of immigrant families and children, immigrant and undocumented families, unaccompanied Central American children in long-term foster care"
Ivan de la Rosa,"violence and trauma & risk and preventative factiors, especially in those from US/Mexico borderland communities"
Arnold Barnes,"Mental health services, schizophrenia, mood disorders"
Carmen C Monico,"Hispanic and Latinx youth, immigration issues, adoption"
Sharon Parker,"Health disparities, infectious diseases, HIV"
Jeanette Wade,"health disparities, gender studies, ethnic identity, Black feminism"
Shanika Wilson,"clinician implicit racial bias, decolonized clinical supervision, afrocentric social work, raccial identity, colorism and mental health equity"
Gloria Thomas Anderson,
Jodi Hall,"health disparities, older adults, African Americans, behavioral health"
Sung-Ju Kim,"nonprofit management, fundraising, philanthropic studies, community development"
Jocelyn DeVance Taliaferro ,"nonprofit lobbying, teaching using contemporary television"
Kim Stansbury,gerontological mental health literacy
Intae Yoon,"gender and sexual minorities, race and finance"
Aissetu B. Ibrahama,"Indigenous social work, community health, health disparities, maternal health, genocide and human rights"
Jin Kim,"Poverty, inequality, health, public program participation"
Olubunmi Basirat Oyewuwo,"health and well-being of women and Black, Muslim, and immigrant communities, intimate partner violence, mental health, coping, intersectionality of race, gender, religion, religion and spirituality"
Samuel Astante,effect of social relationships on health and wellbeing
Suk-Hee Kim,
Ingyu Moon,quantitative social research
Evan Harris,"forensic social work, public policy, social justice, human rights, LGBTQ+ community, social work and legal pedagogy"
Daejun Park,"AAPI issues, mental health, substance use"
Mingun Lee,"Social work education and curriculum evaluation, program evaluation, evidence-based practice"
Naelys Luna,"substance use disorders, mood disorders, spirituality, parental roles, mental health outcomes in minorities (especially hispanics), psychosocial functioning"
Manny John González,"mental health, psychodynamic theories in clinical practice, psychological and physical well-being among Hispanic immigrants, psychodynamics of fatherhood, men's studies"
JuYoung Park,"chronic pain management in older adults, pain medication misuse/abuse, mental health in older adults with chronic pain"
Precious Skinner-Osei,"criminal justice reform, justice-involved fathers, trauma-informed care for justice-involved youth"
Hilda Burgos Ocasio,"violence against teens and women, ethical dilemmas, mental health disorders"
Wilma González Ríos,"Domestic violence, reading comprehension in children"
Ashlee R. Barnes-Lee,"Juvenile justice reform 
Racial and ethnic disparities in school-based discipline 
Strengths-based risk assessment and treatment 
Community-driven research methods
Scale Development "
Hyunkag Cho,"Intimate partner violence
Cumulative victimization
Help-seeking
Health
Immigrants"
Keunhye Park,"Child welfare’s interactions with multiple systems
Child welfare-juvenile justice interaction
Child maltreatment and child welfare services and policy
Educational experiences for vulnerable youth
Adolescent development and the transition to adulthood"
Fei Sun,"Health and Aging Policy
Interventions to reduce impact of Alzheimer's disease on individuals, families and communities
Cognitive and emotional well-being in aging populations
Service use of older populations
Elder abuse and neglect among ethnic minority groups"
Daniel Vélez Ortiz,"Mental health services for older adults
Latinos, immigration, racial and ethnic status
Integrating systems of care
Organizational factors
Health technology applications
Diversity in higher education"
Timmesha Butler,"African American Students with Learning and Behavior Disabilities
Critical Disability Theory
School Social Work Practices and Interventions
School Discipline Policies
Social Policies Related to Juvenile Justice"
Jayashree Nimmagadda,cross-cultural practice
Vivien (Wen Li) Anthony,"addictions, with a focus on gaming disorder, problem Internet use, Internet gambling, and other problematic behaviors related to technology use. Specifically, her research explores the etiology and risk mechanisms of problem Internet and video game use, develops and validates measures for these problems, and develops and evaluates interventions that can ameliorate these problems among adolescents and young adults. "
Qiana L. Brown,"system-level change to improve maternal and child health, centering on preventing prenatal substance use and examining the role of the built and social environments and health and social policy in shaping substance use and other health outcomes among women, youth and families"
Ryon Cobb,health implications of socially oppressive systems among adults and the racialization of religion in the United States
Laura Andrea Cuesta Rueda,"family change, international approaches to child and family policy, and poverty and inequality"
Maxine Davis,IPV; interventions to assist Black and Latino men in ending abusive behaviors in their romantic relationships
Antoinette Farmer,"parenting behavior, religion and spirituality, adolescent high risk behaviors, and the evaluation of social work practice"
Adrian Gale,"how Black youth’s schooling experiences in general, and Black boys’ experiences in particular, contribute to the achievement gap"
Chien-Chung Huang,"international social work, nonprofit management and philanthropy, social welfare policy, poverty and welfare reform, and domestic violence"
Woojin Jung,"Global poverty and international aid policy; artificial intelligence and spatial analysis for international development; data-intensive project design, outcome prediction, and impact evaluation; community development policy and practice; social welfare"
Joy Jeounghee Kim,"low-wage work and nonstandard employment, direct care and service occupations, policy interventions for low-wage labor markets, and policy analysis"
Felix Muchomba,"gender inequality, social and economic development policy, and social determinants of health"
Michael Myungkook Joo,"early childhood development, analyses of policies and programs designed to help low-income children, and effects of poverty and economic inequality on children's outcomes"
Michael Park,"Racial/ethnic minority youth development; Minority health and health disparities; Intersection of
race, ethnicity, and culture in immigrant youth development; Racism, racial stereotypes, and
protective factors; Intervention and implementation science"
Gabriel Robles,"health of sexual and gender minorities, motivational interviewing, Latinx health inequities and bilingual intervention development"
Karun K. Singh,"multidisciplinary management education, leadership development, collaborative strategic planning, social innovation, and microaggressions prevention"
Abigail Williams-Butler,understanding the developmental trajectories of children and adolescents in the child welfare and juvenile justice systems
Janelle K. Bryan,"Political Social Work, anti-oppression practice. social determinants of health, healthcare access, gender-based violence"
Crystal M. Hayes,"Reproductive Healthcare for Incarcerated Women, Maternal and Infant Health, Racial, Social, Gender, and Economic Justice, Mass incarceration at the intersections of Human Rights and Mental Health, Gender and Women’s Studies, Anti-Colonial Feminist Research, Prison Reform and Advocacy, Social Welfare History and Policy, Community Organizing and Activism"
Duy D. Nguyen,"health and mental health, health disparities among asian ethnic groups, aging"
Ebony N. Perez,"social work education, anti-racist praxis, students of colo in higher education"
Victoria A. Anyikwa,"mental health, trauma, domestic violence, cultural competence, particularly relating to people of African descent, women, children, and families"
Jin Huang,"Asset-based social policy, asset building and social development, family background and child development, financial capability, children with disabilities, social policy in China"
Vithya Murugan,"domestic violence, sexual assault, community-based participatory research"
Lamont Simmons,"persistence and degree attainment for marginalized and structurally excluded social work students, antiracist and DEI minded practice in social work, systems of inequality"
Mbita Mbao,"behavioral health, aging, workforce development, issues affecting immigrants"
Sook Hyun Kim,"International social work, immigrant and refugee populations, child welfare, human rights"
Bibiana D. Koh,"Ethics, critical pedagogy, culture and ethnicity, adoption and genetic relatedness"
Christson Adedoyin,"Civil rights, Black issues, mental health, social justice, police reform"
Yeon-Shim Lee,"health and mental health disparities, aging, family violence, intimate partner violence, sociocultural health/mental health interventions among diverse racial/ethnic populations"
Na Youn Lee,"Racial stereotypes, intergroup relations, racial politics, immigrant child wellbeing, international social work"
Ruvani Fonseka,"Gender equity, public health"
Sadhana Diwan,"Delivery of health, mental health, social services for older people and their families, dementia & depression, long-term care, cultural diversity and well-being, social integration and social capital effect on mental and physical health of immigrants"
Moctezuma Garcia,"Health inequities, intersectionality, sexual minorities, gender minorities, infectious diseases"
Meekyung Han,"mental health and general well-being among Asian Americans, cultural sensitivity and competence in social work practice with Asian populations"
Soma Sen,"health disparities among marginalized groups, HIV/AIDS prevalence among AAPI populations, social factors that create the differential disease burden in society"
Sang E. Rachel Lee,"Dementia and caregiving in immigrant populations, family caregiving, home and community based service utilization, role of culture, culturally competent research and practice"
Marah Curtis,housing conditions and benefit policies effect on family health and well-being
Jooyoung Kong,"adverse childhood experiences, later-life health and wellbeing"
Quentin Riser,"influence of birth, child, and family characteristics affect on children's cognitive and social-emotional development and family well-being"
Tawandra L. Rowell-Cunsolo,"Intersection of criminal justice system and health outcomes, incarceration in vulnerable communities, HIV risk behaviors and substance use"
Joseph Nicholas DeFilippis,"queer POC, LGBT social movements, queer poverty, marriage politics in neoliberal America"
Anne Farina,"Impact of war-related trauma on families and parenting, trauma-focused interventions, mental health outcomes among international and transracial adoptees, impact of racism on mental health"
Hye-Kyung Kang,"postcolonial social work practice, community organizing and mobilization in immigrant communities and communities of color, cultural citizenship, critical pedagogy"
Juan A. Rios,"Chinese philosopy on modern philanthropy, mindfulness, immigrant and first generation children, cultural intersection among men and masculinity"
Daren Graves,"critical race theory, racial identity development, teacher edugation"
Johnnie Hamilton-Mason,"African American Women and Families, the intersection of cross cultural theory and practice, and HIV/AIDS prevention and treatment"
Saliwe Kawewe,"Global Gender Disempowerment; Women and Children’s Human Rights; Third World Women’s Socioeconomic Development and Social Justice; 
International Child Welfare Policy; HIV/AIDS; Racial Subcultures and Ethnic-Sensitive & competence in Social Work Practice. Discrimination and Racism in the Academy."
Hussein Soliman,"Impact of natural disasters on families and communities, school safety and school violence, impact of dicorce on children, female vulnerability to sexual harassment, mental health services, social services in poor communities"
Nikki Jones,"social determminants of health and culturally aware practices, historical trauma and reparations for African American descendants, LGBTQ+ community"
Nina Esaki,"organizational health, leadership, trauma-responsive organizational change"
Donna S. Wang,"gerontology, research methods, cultural diversity, religion, mindfulness, and spirituality"
Johny Augustine,"communities, individual, families affected by disasters"
Habiba Ibrahim,"social and economic development, immigrant/refugees, asset-building financial inclusion, youth development"
Mary Nienow,"professional socialization of macro practice social workers, policy and program development, and community-based participatory research"
Younsook Anna Yeo,"welfare reform and elderly immigrants, health disparities among racial/ethnic groups, health-information technology use among marginalized populations"
Allison Sinanan,"Trauma, families"
Ting Guan,"family-based psychosocial interventions, cancer patient and caregiver quality of life"
Kendra Deloach,"family health and development, school mental health, mental health disparities among WOC, intersectionality"
Fei Pei,"community health, child development"
Carrie J. Smith,"Child Welfare,child and family policy, social work practice, social 
welfare policy and services, racism and racial dialogue, incarceration 
and impact on families, kinship care"
Xiafei Wang,"health disparities, children and youth"
Nathalie Jones,"Aging populations, black women in higher education"
Felicia Murray,"Father engagement and involvement, outcomes for former foster youth"
Latocia Keyes,"race and ethnic relations, discrimination/disparities impact on behavioral and physical health, mass incarceration, police use of force, policy analysis"
DaVonti' DeAngelo Haynes,"youth development, student success and development"
Raven E Lynch,"identity development, coping skills, multiracial youth"
Gracie Brownell,"youth development, cultural competency, reintigration, international social work"
Aesha John,"Child development, family studies, developmental disabilities"
Raphael Travis,"positive youth development over the life-course, adolescent resilience, youth participation in individual and community transformation"
Angela Ausbrooks,"resilience, trauma, child welfare, juvenile criminal justice issues, multiculturalism"
Mi Jin Choi,"childhood adversity, child maltreatment, family poverty, out-of-home placement (foster care, formal kinship care, informal kinship care), child welfare workforce (child welfare training and trauma-informed self-care)"
Shimwoo Choi,"racial microagressions and coping mechanisms, natural disaster preparedness among individuals with vulnerabilities such as mental/physical health challenges, language barrier, and lack of resources due to  poverty"
Seungjong Cho,"Depressive symptoms, social support, community intervention, gerontology"
Annecy Baez,"College mental health, Latino mental issues, depression/anxiety, suicide prevention, trauma, domestic violence, mindfulness and spirituality in therapy"
Kenny Kwong,low-income Asian immigrant populations in urban settings
Candice C. Beasley,"Child advocacy, protection, welfare, clinical social work, disaster mental health, intimate partner violence, sexual violence, justice and corrections, medical social work, policy and planning"
Samantha Francois,"Adolescent development, anti-racist community engaged research, community organizing and advocacy, neighborhood violence, racism-based violence"
Audrey Hang Hai,"DEI, health disparities/health equity, immigrants refugees and migrants, research, social determinants of health, substance use and treatment"
Irang Kim,"Developmental disabilities, health disparities / health equity, immigrants refugees and migrants, resilience"
Marva L. Lewis,"child advocacy, protection, and welfare, historical oppression and marginalization, interpersonal trauma"
Anneliese Singh,"BIPOC counseling, DEI, multicultural and social justice counseling competency, qualitative and mixed research, queer, trans, and nonbinary counseling, racial healing, racial justice, resilience, traumatology, and liberation"
Jenice Vázquez Pagán,"Gender, violence against women, work and human rights"
Alex Casiano Pagán,"health, older adults"
Julia F. Hastings,"reducing health economic and service utilization burdens for diverse populations, african american communities, wellfare participation, depression, type II diabetes"
Lani V. Jones,"Black women, intervention research, mental health"
Eunju Lee,"Child welfare, home visiting, kinship, program evaluation"
Wonhyung Lee,"community development, neighborhood revitalization, economic opportunities for marginalized populations"
"Robert L. Miller, Jr.","social work, HIV, spirituality"
Jildyz Urbaeva,Women's health and well-being
Jina J. Sang,"Parent child relationships, mental health of children and families, family stress"
Curtis Davis,"Community engaged advocacy, forensic social work, racism-based trauma"
Schnavia Hatcher,"Class and social policy implications for the black community, health promotion strategies for incarcerated youth and adults, youth development models of success in higher education"
Sebrena Jackson,"Foster youth and higher education, higher education leadership, online education, social work education"
Karen Johnson,"sheltered and undomiciled homeless women in rural and urban settings, impovershed women, sexual risk behavior"
Hee Yun Lee,"Behavioral health, community based participatory research, dissemination and implementation research, health disparities, health information technology, immigration health care, mental health, rural health"
Lewis Lee,"Criminal justice / juvenile justice reform, health disparities, macro practice, program evaluation, substance abuse"
Hyunjin (Gina) Noh,"Aging and healthcare, end of life care, health disparities, qualitative methods"
Avani Shah,"Aging and healthcare, cognitive behavioral therapy, diagnosing mental disorders, mental health"
Ronald O. Pitner,"Social determinants of health, youth community, and other forms of interpersonal violence, race and racial disparities, diversity and anti-oppressive practice, research methods, and evaluation research, classroom pedagogy"
Dione Moultrie King,"Health risk behaviors, minority health disparities, social determinants of health, preconception health, and adverse childhood experiences"
Yookyong Lee,"Aging, child abuse and neglect, child and family policy, caregiving and community violence exposure, fatherhood and involvement, people with HIV, young parenthood, family wellbeing"
Omar T. Sims,"Public health management and clinical management of Hepatitis C Virus, HIV/HCV co-infection, HCV epidemiology, infections disease, liver disease, NAFLD, liver transplantation, alcohol and substance use and psychiatric disorders, health disparities"
Amana Mbise,"global health, integration, community development"
Rei Shimizu,"social determinants of health related to dietary quality, health disparities and health equity, foor-related decision making, young adulthood, intervention research methods, restorative justice approaches"
Dr. Valandra,"critical race, Black feminism, multi-systems life course, intersectional, Afrocentric and social justice frameworks"
Tracey McElwee,"Social work, food insecurity, public health"
Reshawna Chapple,"critical deaf studies, critical race feminism and intersectionality, culturally responsive mental health treatment and access to services, intimate partner violence and trauma recovery, qualitative methods, telemental health, informed care"
Shuang Lu,"migration, child/youth mental health, resilience, community-based intervention, nonprofit capacity building"
Kenan Sualp,"environmental risk factors for mental health and access to care, health and mental health, immigration, global social work, program implementation and evaluation, geographic information systems, applied statistics and data visualization strategies"
Xiaochuan Wang,"health and mental health care access, utilization and quality, nursing home quality and workforce capacity, culturally sensitive care for racial and ethnic minority older adults"
Dana Michelle Harley,"community research and photovoice to study hope, optimism, and mental health in at-risk populations"
Anjanette A. Wells,psychosocial needs and barriers of low-income minority patients in preventing and treating cancer
Ann Marie Garran,"racism, social identity, microaggressions, oppression"
Hsiu-Ju Lin,"research method and statistics modeling related to longitudinal studies, multilevel modeling, structural equal modeling, mental health and addiction problems, criminal justice involved population, health psychology, culture differences in preventive health behaviors"
Rupal Parekh,"social isolation and older adults, the built environment and transportation disadvantage, late-life migration and mental health, elder orphans and aging alone, social work and public policy"
Sukhmani SIngh,"sociopolitical development, adolescence, juvenile justice, education, immigration"
Rebecca L. Thomas ,"international social work, international development, climate induced migration, program evaluation/employment and training programs, remittances, microcredit/microfinance"
May Guo,"minority aging, immigration, social determinants of health, mental and cognitive health in later life, cross-cultural and comparative studies"
